domain_name,Carleton_response_addresses,Google_response_addresses,TTL_Carleton,TTL_Google
domain_name,,,-1,-1
google.com.,142.250.190.142,142.250.190.142,84,300
akadns.net.,,,-1,-1
gstatic.com.,172.217.4.195,142.250.190.67,205,300
facebook.com.,157.240.26.35,157.240.26.35,17,60
microsoft.com.,13.107.213.51;13.107.246.51,13.107.246.51;13.107.213.51,3600,211
akamai.com.,23.200.133.6;23.200.133.42,104.119.189.219;104.119.189.235,20,15
whatsapp.net.,157.240.26.54,157.240.26.54,60,60
apple.com.,17.253.144.10,17.253.144.10,128,555
fbcdn.net.,157.240.26.35,157.240.26.35,60,60
play.googleapis.com.,216.239.38.223;216.239.32.223;216.239.34.223;216.239.36.223,216.239.34.223;216.239.38.223;216.239.32.223;216.239.36.223,178,300
googleusercontent.com.,172.217.5.1,142.250.190.97,300,300
bing.com.,150.171.28.10;150.171.27.10,150.171.27.10;150.171.28.10,3600,2468
microsoftonline.com.,,,-1,-1
doubleclick.net.,142.250.190.14,142.250.190.14,300,300
digicert.com.,45.60.131.229;45.60.121.229,45.60.121.229;45.60.131.229,300,277
akamai-zt.com.,,,-1,-1
office.com.,13.107.6.156,13.107.6.156,289,76
ytimg.com.,,,-1,-1
update.googleapis.com.,142.251.32.3,142.250.191.163,203,300
msn.com.,204.79.197.219,204.79.197.219,3600,806
googleapis.com.,142.250.190.100,142.250.190.132,94,300
www.googleapis.com.,142.251.34.234;142.250.191.138;172.217.4.42;142.250.191.170;142.250.190.106;142.250.190.42;142.250.191.106;142.250.190.10;172.217.1.106;142.251.32.10;142.250.190.74;142.250.191.234;172.217.2.42;142.250.190.138;172.217.4.74;142.250.191.202,142.250.191.138;142.250.190.74;142.250.191.170;142.250.190.10;172.217.4.202;172.217.1.106;172.217.5.10;142.250.190.106;142.250.191.202;172.217.2.42;142.250.191.106;142.251.34.234;142.251.32.10;172.217.4.74;142.250.190.138;142.250.191.234,121,300
app-measurement.com.,142.250.191.238,142.251.32.14,147,300
skype.com.,20.112.250.133;20.76.201.171;20.236.44.162;20.70.246.20;20.231.239.246,20.70.246.20;20.231.239.246;20.112.250.133;20.236.44.162;20.76.201.171,2899,1029
office.net.,,,-1,-1
akamai.net.,,,-1,-1
youtube.com.,172.217.4.46,172.217.4.206,300,300
windows.com.,20.70.246.20;20.76.201.171;20.236.44.162;20.112.250.133;20.231.239.246,20.70.246.20;20.112.250.133;20.76.201.171;20.236.44.162;20.231.239.246,3600,598
aaplimg.com.,,,-1,-1
instagram.com.,157.240.26.174,157.240.26.174,60,60
icloud.com.,17.253.144.10,17.253.144.10,270,485
cloud.microsoft.,20.76.201.171;20.231.239.246;20.236.44.162;20.70.246.20;20.112.250.133,20.231.239.246;20.112.250.133;20.70.246.20;20.76.201.171;20.236.44.162,300,31
officeapps.live.com.,52.108.9.12;52.108.8.12,52.108.9.12;52.108.8.12,17,14
apple-dns.net.,,,-1,-1
safebrowsing.googleapis.com.,142.251.32.10,142.250.191.234,178,300
ntp.org.,204.93.207.22,204.93.207.22,3600,3087
optimizationguide-pa.googleapis.com.,172.217.4.202;142.250.191.106;172.217.2.42;142.250.191.170;172.217.5.10;142.250.190.10;142.250.191.138;142.250.190.74;142.250.190.42;142.250.191.202;142.250.190.138;172.217.1.106;142.250.191.234;142.251.32.10;172.217.4.42;142.250.190.106,142.250.191.138;142.250.190.106;142.250.191.106;172.217.1.106;142.250.190.74;142.250.190.10;142.250.191.202;172.217.4.42;142.251.32.10;142.250.191.234;142.251.34.234;172.217.4.202;142.250.191.170;172.217.4.74;172.217.2.42;142.250.190.42,299,300
windowsupdate.com.,,,-1,-1
gvt2.com.,,,-1,-1
maersk.io.,165.160.15.20;165.160.13.20,165.160.13.20;165.160.15.20,300,300
googlevideo.com.,142.251.34.228,172.217.2.36,300,300
youtubei.googleapis.com.,216.239.34.223;216.239.36.223;216.239.38.223;216.239.32.223,216.239.36.223;216.239.38.223;216.239.34.223;216.239.32.223,38,300
clientservices.googleapis.com.,142.250.190.99,142.250.191.163,158,300
cloudflare.com.,104.16.133.229;104.16.132.229,104.16.132.229;104.16.133.229,300,300
akamaiedge.net.,,,-1,-1
esc5.net.,54.208.31.49,54.208.31.49,600,600
googlesyndication.com.,142.250.190.36,142.250.191.196,300,300
tiktokv.com.,23.38.109.145;23.38.109.156;23.38.109.136;23.38.109.153;23.38.109.138;23.38.109.154;23.38.109.149;23.38.109.134;23.38.109.165,23.11.229.202;23.11.229.186;23.11.229.168;23.11.229.171;23.11.229.208;23.11.229.211;23.11.229.218;23.11.229.153;23.11.229.227,20,19
windows.net.,20.70.246.20;20.76.201.171;20.231.239.246;20.236.44.162;20.112.250.133,20.231.239.246;20.76.201.171;20.236.44.162;20.112.250.133;20.70.246.20,3600,3484
cib.com.cn.,,,-1,-1
notifications-pa.googleapis.com.,142.250.190.74;142.250.191.202;172.217.4.42;142.250.190.138;142.250.191.138;142.250.190.106;142.250.190.10;142.251.34.234;142.250.190.42;172.217.1.106;142.250.191.234;142.250.191.170;142.251.32.10;142.250.191.106;172.217.4.74,142.250.191.170;172.217.5.10;142.250.190.106;142.250.191.202;142.250.190.74;142.250.190.10;172.217.1.106;142.250.191.234;142.250.191.106;142.250.191.138;142.250.190.138;172.217.2.42;142.251.32.10;142.250.190.42,127,300
appsflyersdk.com.,18.160.102.87;18.160.102.58;18.160.102.32;18.160.102.127,18.160.102.32;18.160.102.58;18.160.102.127;18.160.102.87,60,60
amazonaws.com.,72.21.210.29;72.21.206.80;207.171.166.22,72.21.210.29;207.171.166.22;72.21.206.80,900,11
gvt1.com.,,,-1,-1
office365.com.,40.112.243.53;20.119.0.28,20.119.0.28;40.112.243.53,3600,966
googletagmanager.com.,142.250.191.200,142.250.190.40,300,300
play-fe.googleapis.com.,142.250.190.46,172.217.2.46,64,300
login.live.com.,20.190.135.3;20.190.135.16;40.126.28.20;40.126.28.21;40.126.28.12;40.126.7.35;20.190.135.4;40.126.28.14,20.190.155.16;20.190.155.66;20.190.155.65;20.190.155.132;20.190.155.67;20.190.155.2;40.126.27.128;20.190.155.131,6,146
googleadservices.com.,142.250.191.98,142.250.190.2,300,300
akamaized.net.,,,-1,-1
adobedtm.com.,,,-1,-1
firebaselogging-pa.googleapis.com.,142.250.190.10;142.251.32.10;142.250.191.170;142.250.190.138;142.250.191.202;172.217.1.106;142.250.191.106;142.250.190.106;142.250.191.138;172.217.4.202;172.217.4.74;172.217.5.10;142.250.190.42;142.250.191.234;142.250.190.74;172.217.2.42,172.217.1.106;142.250.190.106;142.250.190.42;142.250.190.74;172.217.4.42;142.250.191.234;142.250.191.202;172.217.5.10;142.250.191.170;172.217.4.74;142.251.32.10;142.250.190.10;142.250.191.106;142.250.190.138;142.250.191.138;142.251.34.234,185,300
android.googleapis.com.,216.239.38.223;216.239.36.223;216.239.34.223;216.239.32.223,216.239.32.223;216.239.34.223;216.239.38.223;216.239.36.223,149,300
firebaseremoteconfig.googleapis.com.,172.217.2.42;172.217.5.10;142.250.191.202;172.217.1.106;142.250.191.170;142.250.190.106;142.250.190.74;172.217.4.42;142.251.32.10;142.250.191.138;142.250.190.138;142.250.191.106;142.250.190.42;172.217.4.202;142.250.191.234;142.250.190.10,142.250.191.170;142.250.190.10;142.250.191.106;172.217.4.74;142.250.191.202;142.251.32.10;172.217.4.202;172.217.4.42;142.250.191.234;172.217.2.42;142.250.190.106;142.250.190.42;142.250.190.138;172.217.1.106;142.251.34.234;142.250.191.138,43,300
tiktokcdn.com.,,,-1,-1
fonts.googleapis.com.,142.250.190.106,142.250.190.42,250,300
google-analytics.com.,142.250.191.132,142.250.191.132,221,300
ggpht.com.,,,-1,-1
crashlytics.com.,216.239.32.29,216.239.32.29,300,300
content-autofill.googleapis.com.,172.217.2.42;172.217.1.106;172.217.5.10;142.250.191.202;172.217.4.202;142.250.191.170;172.217.4.42;142.250.190.10;142.250.190.42;142.251.32.10;142.250.190.74;142.250.191.106;142.250.191.234;142.251.34.234;142.250.190.138;142.250.191.138,172.217.2.42;142.250.191.170;172.217.1.106;172.217.4.202;142.250.190.74;172.217.4.42;142.250.190.42;142.250.190.10;142.250.190.138;142.250.191.234;142.250.191.106;142.251.34.234;142.250.191.202;142.251.32.10;142.250.191.138;142.250.190.106,72,300
static.microsoft.,,,-1,-1
line-apps.com.,10.233.124.212,10.233.124.212,60,60
sfx.ms.,,,-1,-1
azure.com.,20.236.44.162;20.231.239.246;20.112.250.133;20.76.201.171;20.70.246.20,20.236.44.162;20.76.201.171;20.231.239.246;20.112.250.133;20.70.246.20,3600,1856
prod-lt-playstoregatewayadapter-pa.googleapis.com.,142.250.190.42;142.250.191.234;142.250.191.106;142.251.34.234;142.250.190.138;172.217.5.10;172.217.4.42;142.251.32.10;142.250.191.202;172.217.4.74;142.250.191.138;172.217.4.202;142.250.190.10;172.217.1.106;172.217.2.42;142.250.191.170,142.250.190.10;142.250.191.106;142.251.34.234;142.250.191.202;172.217.4.202;172.217.4.42;142.250.190.106;142.251.32.10;172.217.1.106;142.250.190.138;172.217.2.42;142.250.191.234;172.217.5.10;142.250.191.138;142.250.191.170;172.217.4.74,124,300
fastly-edge.com.,,,-1,-1
churchofjesuschrist.org.,216.49.176.20,216.49.176.20,60,60
firebaseinstallations.googleapis.com.,142.250.190.42;142.250.190.106;172.217.2.42;142.250.191.170;142.250.190.138;142.250.190.10;172.217.4.202;142.250.191.106;142.250.191.138;172.217.4.74;172.217.1.106;142.251.34.234;142.250.191.234;142.250.191.202;142.250.190.74;142.251.32.10,142.250.190.138;142.250.190.42;142.250.191.138;142.250.191.234;142.250.190.106;142.251.32.10;142.250.190.74;172.217.4.42;142.250.191.170;142.251.34.234;172.217.2.42;172.217.4.202;142.250.190.10;172.217.5.10;172.217.1.106;142.250.191.202,253,300
geller-pa.googleapis.com.,142.250.190.138;142.250.190.42;142.250.191.170;142.250.190.10;142.250.190.106;172.217.5.10;172.217.1.106;142.250.191.234;142.250.191.202;172.217.4.74;172.217.4.42;142.250.191.106;142.250.191.138;142.251.32.10;142.250.190.74;142.251.34.234,142.251.32.10;142.251.34.234;142.250.191.170;142.250.191.234;172.217.2.42;142.250.191.106;142.250.190.74;172.217.4.74;172.217.4.42;142.250.191.138;142.250.190.42;142.250.190.10;142.250.190.106;172.217.1.106;142.250.190.138;142.250.191.202,229,300
zscalertwo.net.,,,-1,-1
qq.com.,123.150.76.218;203.205.254.157;113.108.81.189,123.150.76.218;203.205.254.157;113.108.81.189,600,295
aa-rt.sharepoint.com.,,,-1,-1
people-pa.googleapis.com.,142.250.191.106;172.217.1.106;142.250.190.106;142.250.190.42;172.217.2.42;142.250.191.170;142.250.190.10;172.217.4.202;142.250.190.74;172.217.5.10;142.250.190.138;142.250.191.138;142.250.191.234;142.250.191.202;142.251.32.10;172.217.4.42,142.250.190.10;142.250.190.42;172.217.4.42;142.250.191.106;172.217.2.42;142.250.191.138;142.250.190.74;142.251.32.10;142.250.191.170;172.217.4.202;142.250.191.234;142.250.190.138;142.250.190.106;142.251.34.234;142.250.191.202;172.217.1.106,284,300
whatsapp.com.,157.240.26.54,157.240.26.54,59,60
app-analytics-services.com.,142.250.191.174,172.217.4.78,88,300
android.com.,172.217.5.4,142.250.190.132,300,300
cdn-apple.com.,,,-1,-1
sentry.io.,35.186.247.156,35.186.247.156,1103,941
playstoregatewayadapter-pa.googleapis.com.,142.250.190.74;142.250.191.138;142.251.34.234;142.250.190.42;142.250.191.106;142.250.191.234;172.217.2.42;142.250.190.10;142.250.191.170;172.217.4.74;142.250.190.138;172.217.4.42;142.250.190.106;172.217.1.106;142.250.191.202;142.251.32.10,142.250.190.138;142.250.191.138;142.250.190.106;142.250.191.234;142.251.32.10;142.250.191.202;142.250.191.170;142.250.190.42;142.250.190.74;142.250.191.106;142.250.190.10;172.217.1.106;172.217.4.202;142.251.34.234;172.217.2.42;172.217.4.42,141,300
yahoo.com.,98.137.11.164;74.6.231.21;74.6.143.25;74.6.143.26;98.137.11.163;74.6.231.20,74.6.143.26;74.6.143.25;98.137.11.164;98.137.11.163;74.6.231.21;74.6.231.20,1800,1649
live.com.,204.79.197.212,204.79.197.212,822,600
discover-pa.googleapis.com.,142.250.191.234;142.250.191.202;172.217.4.42;142.250.190.10;172.217.4.74;142.250.190.106;142.250.191.138;142.250.190.138;172.217.2.42;172.217.4.202;172.217.1.106;142.251.34.234;142.250.191.106;142.251.32.10;142.250.191.170;142.250.190.42,142.250.191.202;142.250.191.234;142.251.34.234;142.250.190.74;142.250.191.106;172.217.4.74;142.250.191.138;172.217.4.42;142.250.190.106;142.250.191.170;172.217.4.202;142.251.32.10;142.250.190.138;172.217.5.10;142.250.190.10;142.250.190.42,289,300
cloudsink.net.,,,-1,-1
spot-pa.googleapis.com.,142.250.191.202;142.250.190.42;172.217.4.74;142.250.191.138;142.250.190.10;142.250.190.138;172.217.4.42;142.250.191.106;142.250.191.234;142.251.34.234;172.217.1.106;142.250.190.74;142.250.191.170;142.251.32.10;172.217.2.42;142.250.190.106,142.250.190.74;142.250.190.106;172.217.4.74;172.217.5.10;142.250.190.42;142.250.191.138;142.251.32.10;142.250.191.170;142.250.191.106;142.251.34.234;172.217.1.106;142.250.191.202;142.250.191.234;142.250.190.138;172.217.4.202;142.250.190.10,183,300
pki.goog.,216.239.32.29,216.239.32.29,300,139
scorecardresearch.com.,165.193.78.252,165.193.78.252,3600,2125
taskassist-pa.googleapis.com.,172.217.2.42;142.251.34.234;142.250.190.42;142.250.191.138;172.217.4.74;142.250.191.170;142.250.191.234;142.251.32.10;142.250.191.202;142.250.190.74;142.250.190.10;172.217.1.106;172.217.4.42;172.217.4.202;142.250.191.106;142.250.190.106,142.251.32.10;172.217.2.42;172.217.1.106;142.250.190.106;142.250.191.106;142.250.190.42;142.250.190.10;142.250.191.170;142.250.191.138;142.250.191.234;142.250.190.138;142.250.191.202;142.251.34.234;142.250.190.74;172.217.4.202;172.217.5.10,260,300
azureedge.net.,,,-1,-1
firebaselogging.googleapis.com.,216.239.36.223;216.239.32.223;216.239.34.223;216.239.38.223,216.239.32.223;216.239.36.223;216.239.38.223;216.239.34.223,171,300
outlook.com.,52.96.172.98;52.96.222.194;52.96.111.82;52.96.91.34;52.96.222.226;52.96.223.2;52.96.214.50;52.96.229.242;52.96.228.130,52.96.91.34;52.96.214.50;52.96.111.82;52.96.172.98;52.96.223.2;52.96.222.226;52.96.222.194;52.96.228.130;52.96.229.242,300,143
paypal.com.,162.159.141.96;151.101.3.1;151.101.195.1,162.159.141.96;151.101.3.1;151.101.195.1,300,126
moba.net.,95.170.74.97,95.170.74.97,14400,14400
dell.com.,143.166.30.172;143.166.136.12,143.166.30.172;143.166.136.12,600,179
lencr.org.,18.208.88.157;98.84.224.111,18.208.88.157;98.84.224.111,14,67
cdninstagram.com.,,,-1,-1
exp-tas.com.,,,-1,-1
demdex.net.,,,-1,-1
facebook.net.,,,-1,-1
samsung.com.,211.45.27.231,211.45.27.231,300,134
linkedin.com.,150.171.22.12,150.171.22.12,300,300
mzstatic.com.,17.253.142.4,17.253.142.4,2656,166
qualys.eu.,162.159.153.243;162.159.152.21,162.159.152.21;162.159.153.243,300,300
g.live.com.,13.107.246.38;13.107.213.38,13.107.213.38;13.107.246.38,20,34
googletagservices.com.,,,-1,-1
